X,Y,mag,alti
531404.438756447,-1770082.79591434,-140.415802001953,2477.12866210938
531904.438756447,-1770082.79591434,-167.549102783203,2479.03076171875
535904.438756447,-1770082.79591434,-226.131607055664,2636.32861328125
536404.438756447,-1770082.79591434,-232.034866333008,2676.53857421875
536904.438756447,-1770082.79591434,-220.454498291016,2700.63891601563
555904.438756447,-1770082.79591434,-130.178802490234,2122.03833007813
556404.438756447,-1770082.79591434,-132.003234863281,2128.87670898438
556904.438756447,-1770082.79591434,-138.178298950195,2137.244140625
561404.438756447,-1770082.79591434,-151.801361083984,2325.79467773438
564904.438756447,-1770082.79591434,184.514343261719,2595.58471679688
565404.438756447,-1770082.79591434,178.023071289063,2623.8271484375
565904.438756447,-1770082.79591434,268.693267822266,2645.28540039063
526404.438756447,-1769582.79591434,-126.317459106445,2311.92749023438
530904.438756447,-1769582.79591434,-97.3629913330078,2479.28686523438
531404.438756447,-1769582.79591434,-140.937606811523,2494.88452148438
531904.438756447,-1769582.79591434,-177.135101318359,2483.13037109375
532404.438756447,-1769582.79591434,-200.771453857422,2460.37231445313
535904.438756447,-1769582.79591434,-166.036560058594,2636.9541015625
536404.438756447,-1769582.79591434,-135.726760864258,2689.73413085938
536904.438756447,-1769582.79591434,-159.745498657227,2708.21215820313
546904.438756447,-1769582.79591434,-243.654647827148,2604.23706054688
555904.438756447,-1769582.79591434,-131.209243774414,2111.7158203125
556404.438756447,-1769582.79591434,-132.786361694336,2118.09790039063
556904.438756447,-1769582.79591434,-138.26789855957,2124.15673828125
560904.438756447,-1769582.79591434,-185.451309204102,2281.06420898438
561404.438756447,-1769582.79591434,-166.231811523438,2320.08056640625
561904.438756447,-1769582.79591434,-138.445861816406,2361.77661132813
564904.438756447,-1769582.79591434,34.5132141113281,2559.1357421875
565404.438756447,-1769582.79591434,9.78927230834961,2582.91625976563
565904.438756447,-1769582.79591434,90.4142837524414,2601.22534179688
525904.438756447,-1769082.79591434,-131.14924621582,2326.22802734375
526404.438756447,-1769082.79591434,-124.333518981934,2331.14331054688
526904.438756447,-1769082.79591434,-125.016471862793,2339.15966796875
530904.438756447,-1769082.79591434,-81.4621505737305,2508.609375
531404.438756447,-1769082.79591434,-137.696640014648,2535.16162109375
531904.438756447,-1769082.79591434,-183.967864990234,2494.86572265625
535904.438756447,-1769082.79591434,-151.067718505859,2633.37939453125
536404.438756447,-1769082.79591434,-104.256889343262,2694.26171875
536904.438756447,-1769082.79591434,-149.828079223633,2709.38232421875
541404.438756447,-1769082.79591434,424.739715576172,2900.63208007813
546404.438756447,-1769082.79591434,-205.001373291016,2643.88208007813
546904.438756447,-1769082.79591434,-267.859649658203,2595.38793945313
547404.438756447,-1769082.79591434,-285.107055664063,2562.56860351563
555904.438756447,-1769082.79591434,-130.784515380859,2111.14868164063
556404.438756447,-1769082.79591434,-132.071151733398,2119.85913085938
556904.438756447,-1769082.79591434,-137.440536499023,2121.62524414063
560904.438756447,-1769082.79591434,-191.118621826172,2276.33813476563
561404.438756447,-1769082.79591434,-175.635437011719,2316.62036132813
561904.438756447,-1769082.79591434,-155.448776245117,2357.73876953125
564904.438756447,-1769082.79591434,-18.3574886322021,2521.234375
565404.438756447,-1769082.79591434,-41.2815132141113,2538.1181640625
565904.438756447,-1769082.79591434,-1.93824422359467,2554.09716796875
525904.438756447,-1768582.79591434,-137.958999633789,2344.06225585938
526404.438756447,-1768582.79591434,-138.553970336914,2334.11645507813
526904.438756447,-1768582.79591434,-132.118804931641,2362.29663085938
530904.438756447,-1768582.79591434,-67.9166793823242,2530.95361328125
531404.438756447,-1768582.79591434,-132.939392089844,2576.29248046875
531904.438756447,-1768582.79591434,-193.924209594727,2496.87377929688
535904.438756447,-1768582.79591434,-211.152679443359,2623.90234375
536404.438756447,-1768582.79591434,-201.358505249023,2696.697265625
